Transaction_Date,Posting_Date,Description,Transaction_Type,Merchant_Category,Amount,Location,Balance_After
2025-09-09,2025-09-09,PRIME VIDEO SUB,ONLINE,Entertainment,-8.99,,5300.74
2025-09-10,2025-09-10,COSTA AIRPORT,POS,Dining,-5.10,London,5295.64
2025-09-11,2025-09-11,ATM WITHDRAWAL NATWEST,ATM,Cash,-40.00,London,5255.64
2025-09-12,2025-09-12,BURGER KING,POS,Dining,-9.50,London,5246.14
2025-09-13,2025-09-13,WATER BILL DD,DIRECT DEBIT,Utilities,-28.00,,5218.14
2025-09-14,2025-09-14,PHARMACY PURCHASE,POS,Health,-6.30,London,5211.84
2025-09-15,2025-09-15,NATIONAL EXPRESS BUS,ONLINE,Transport,-15.00,,5196.84
2025-09-16,2025-09-16,YOUTUBE PREMIUM,ONLINE,Entertainment,-11.99,,5184.85
2025-09-17,2025-09-17,MARKS & SPENCER,POS,Groceries,-25.60,London,5159.25
2025-09-18,2025-09-18,VUE CINEMA TICKETS,POS,Entertainment,-20.00,London,5139.25
2025-09-19,2025-09-19,BROADBAND DD VIRGIN,DIRECT DEBIT,Utilities,-45.00,,5094.25
2025-09-20,2025-09-20,UBER EATS BURGER,ONLINE,Dining,-18.25,,5076.00
2025-09-21,2025-09-21,SUPERDRUG HEALTH,POS,Health,-7.20,London,5068.80
2025-09-22,2025-09-22,SAVINGS TRANSFER OUT,TRANSFER,Savings,-200.00,,4868.80
2025-09-23,2025-09-23,GREGGS COFFEE,POS,Dining,-2.20,London,4866.60
2025-09-24,2025-09-24,EBAY REFUND,DIRECT CREDIT,Retail,30.00,Online,4896.60
2025-09-25,2025-09-25,TFL TRAIN FARE,POS,Transport,-5.50,London,4891.10
2025-09-26,2025-09-26,LIDL GROCERIES,POS,Groceries,-36.90,London,4854.20
2025-09-27,2025-09-27,STARBUCKS LATTE,POS,Dining,-4.30,London,4849.90
2025-09-28,2025-09-28,COUNCIL TAX PAYMENT DD,DIRECT DEBIT,Utilities,-120.00,,4729.90
2025-09-29,2025-09-29,DELIVEROO INDIAN,ONLINE,Dining,-24.80,,4705.10
2025-09-30,2025-09-30,IKEA FURNITURE ONLINE,ONLINE,Retail,-75.00,,4630.10
